Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY NEXT 50,22/01/2010,15.9,3.03,0.98,10350.75,650.99
NIFTY NEXT 50,21/01/2010,16.03,3.05,0.97,10434.9,650.96
NIFTY NEXT 50,20/01/2010,16.44,3.13,0.94,10701.95,650.97
NIFTY NEXT 50,19/01/2010,16.8,3.13,0.94,10709.15,637.45
NIFTY NEXT 50,18/01/2010,16.96,3.16,0.93,10811.2,637.45
NIFTY NEXT 50,15/01/2010,16.88,3.15,0.94,10760,637.44
NIFTY NEXT 50,14/01/2010,16.92,3.15,0.94,10787.05,637.53
NIFTY NEXT 50,13/01/2010,16.77,3.13,0.95,10690.25,637.46
NIFTY NEXT 50,12/01/2010,16.68,3.11,0.95,10632.7,637.45
NIFTY NEXT 50,11/01/2010,16.85,3.14,0.94,10743.1,637.57
NIFTY NEXT 50,08/01/2010,16.72,3.12,0.95,10660.45,637.59
NIFTY NEXT 50,07/01/2010,16.73,3.12,0.95,10669.75,637.76
NIFTY NEXT 50,06/01/2010,16.87,3.15,0.94,10757.85,637.69
NIFTY NEXT 50,05/01/2010,16.73,3.12,0.95,10667.1,637.6
NIFTY NEXT 50,04/01/2010,16.48,3.07,0.96,10508,637.62
NIFTY NEXT 50,31/12/2009,16.28,3.04,0.97,10382.7,637.76
NIFTY NEXT 50,30/12/2009,16.24,3.03,0.98,10355.4,637.65
NIFTY NEXT 50,29/12/2009,16.2,3.02,0.98,10328.55,637.56
NIFTY NEXT 50,24/12/2009,16.25,3.03,0.98,10357.95,637.41
NIFTY NEXT 50,23/12/2009,16.13,3.01,0.98,10282.25,637.46
NIFTY NEXT 50,22/12/2009,15.88,2.96,1,10127.4,637.75
NIFTY NEXT 50,21/12/2009,15.73,2.93,1.01,10029.25,637.59
NIFTY NEXT 50,18/12/2009,15.79,2.94,1,10069.95,637.74
NIFTY NEXT 50,17/12/2009,15.9,2.96,1,10139.15,637.68
NIFTY NEXT 50,16/12/2009,15.78,2.94,1,10063.5,637.74
NIFTY NEXT 50,15/12/2009,15.73,2.93,1.01,10031.05,637.7
NIFTY NEXT 50,14/12/2009,15.99,2.98,0.99,10197.95,637.77
NIFTY NEXT 50,11/12/2009,16.03,2.99,0.99,10223.05,637.74
NIFTY NEXT 50,10/12/2009,16.11,3,0.98,10269.7,637.47
NIFTY NEXT 50,09/12/2009,16.04,2.99,0.99,10226.9,637.59
NIFTY NEXT 50,08/12/2009,16.2,3.02,0.98,10330.7,637.7
NIFTY NEXT 50,07/12/2009,15.91,2.97,1,10147.35,637.8
