Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY 50,27/07/2016,23.63,3.4,1.27,8615.8,364.61
NIFTY 50,26/07/2016,23.56,3.39,1.28,8590.65,364.63
NIFTY 50,25/07/2016,23.69,3.44,1.23,8635.65,364.53
NIFTY 50,22/07/2016,23.43,3.47,1.21,8541.2,364.54
NIFTY 50,21/07/2016,23.34,3.46,1.22,8510.1,364.61
NIFTY 50,20/07/2016,23.49,3.48,1.21,8565.85,364.66
NIFTY 50,19/07/2016,23.39,3.46,1.22,8528.55,364.62
NIFTY 50,18/07/2016,23.34,3.46,1.22,8508.7,364.55
NIFTY 50,15/07/2016,23.43,3.47,1.21,8541.4,364.55
NIFTY 50,14/07/2016,23.49,3.48,1.21,8565,364.62
NIFTY 50,13/07/2016,23.37,3.46,1.22,8519.5,364.55
NIFTY 50,12/07/2016,23.37,3.46,1.22,8521.05,364.61
NIFTY 50,11/07/2016,23.25,3.44,1.23,8467.9,364.21
NIFTY 50,08/07/2016,22.85,3.38,1.25,8323.2,364.25
NIFTY 50,07/07/2016,22.89,3.39,1.24,8337.9,364.26
NIFTY 50,05/07/2016,22.88,3.39,1.24,8335.95,364.33
NIFTY 50,04/07/2016,22.98,3.4,1.24,8370.7,364.26
NIFTY 50,01/07/2016,22.86,3.38,1.25,8328.35,364.32
NIFTY 50,30/06/2016,22.75,3.37,1.25,8287.75,364.3
NIFTY 50,29/06/2016,22.52,3.33,1.26,8204,364.3
NIFTY 50,28/06/2016,22.31,3.3,1.28,8127.85,364.31
NIFTY 50,27/06/2016,22.22,3.29,1.28,8094.7,364.3
NIFTY 50,24/06/2016,22.2,3.29,1.28,8088.6,364.35
NIFTY 50,23/06/2016,22.7,3.4,1.26,8270.45,364.34
NIFTY 50,22/06/2016,22.52,3.37,1.27,8203.7,364.29
NIFTY 50,21/06/2016,22.56,3.38,1.27,8219.9,364.36
NIFTY 50,20/06/2016,22.62,3.39,1.27,8238.5,364.21
NIFTY 50,17/06/2016,22.43,3.36,1.28,8170.2,364.25
NIFTY 50,16/06/2016,22.35,3.37,1.28,8140.75,364.24
NIFTY 50,15/06/2016,22.53,3.4,1.27,8206.6,364.25
NIFTY 50,14/06/2016,22.26,3.36,1.29,8108.85,364.28
NIFTY 50,13/06/2016,22.26,3.36,1.29,8110.6,364.36
NIFTY 50,10/06/2016,22.43,3.38,1.28,8170.05,364.25
NIFTY 50,09/06/2016,22.52,3.42,1.31,8203.6,364.28
NIFTY 50,08/06/2016,22.71,3.45,1.3,8273.05,364.29
NIFTY 50,07/06/2016,22.69,3.44,1.3,8266.45,364.32
NIFTY 50,06/06/2016,22.71,3.42,1.31,8201.05,361.12
NIFTY 50,03/06/2016,22.77,3.43,1.31,8220.8,361.04
NIFTY 50,02/06/2016,22.76,3.43,1.31,8218.95,361.11
NIFTY 50,01/06/2016,22.65,3.41,1.31,8179.95,361.15
NIFTY 50,31/05/2016,22.6,3.4,1.32,8160.1,361.07
NIFTY 50,30/05/2016,22.69,3.41,1.31,8178.5,360.45
NIFTY 50,27/05/2016,22.66,3.4,1.32,8156.65,359.96
NIFTY 50,26/05/2016,22.39,3.36,1.33,8069.65,360.41
NIFTY 50,25/05/2016,22.07,3.3,1.36,7934.9,359.53
NIFTY 50,24/05/2016,21.16,3.22,1.39,7748.85,366.2
NIFTY 50,23/05/2016,21.13,3.22,1.39,7731.05,365.88
NIFTY 50,20/05/2016,21.19,3.22,1.39,7749.7,365.72
NIFTY 50,19/05/2016,21.33,3.24,1.38,7783.4,364.9
NIFTY 50,18/05/2016,21.57,3.28,1.37,7870.15,364.87
NIFTY 50,17/05/2016,21.62,3.29,1.36,7890.75,364.97
NIFTY 50,16/05/2016,21.54,3.28,1.37,7860.75,364.94
NIFTY 50,13/05/2016,21.1,3.26,1.38,7814.9,370.37
NIFTY 50,12/05/2016,21.33,3.29,1.36,7900.4,370.39
NIFTY 50,11/05/2016,21.19,3.27,1.37,7848.85,370.4
NIFTY 50,10/05/2016,21.3,3.29,1.36,7887.8,370.32
NIFTY 50,09/05/2016,21.24,3.28,1.37,7866.05,370.34
NIFTY 50,06/05/2016,20.91,3.22,1.39,7733.45,369.84
NIFTY 50,05/05/2016,20.96,3.22,1.39,7735.5,369.06
NIFTY 50,04/05/2016,20.88,3.21,1.39,7706.55,369.09
NIFTY 50,03/05/2016,21.08,3.23,1.39,7747,367.5
NIFTY 50,02/05/2016,21.25,3.25,1.38,7805.9,367.34
NIFTY 50,29/04/2016,21.24,3.27,1.37,7849.8,369.58
NIFTY 50,28/04/2016,21.3,3.27,1.37,7847.25,368.42
NIFTY 50,27/04/2016,21.66,3.33,1.35,7979.9,368.42
NIFTY 50,26/04/2016,21.6,3.32,1.35,7962.65,368.64
NIFTY 50,25/04/2016,21.4,3.27,1.37,7855.05,367.06
NIFTY 50,22/04/2016,21.55,3.29,1.36,7899.3,366.56
NIFTY 50,21/04/2016,21.59,3.34,1.41,7912.05,366.47
NIFTY 50,20/04/2016,21.59,3.34,1.41,7914.75,366.59
NIFTY 50,18/04/2016,21.68,3.34,1.41,7914.7,365.07
NIFTY 50,13/04/2016,21.56,3.32,1.42,7850.45,364.12
NIFTY 50,12/04/2016,21.17,3.26,1.45,7708.95,364.15
NIFTY 50,11/04/2016,21.07,3.24,1.45,7671.4,364.09
NIFTY 50,08/04/2016,20.75,3.19,1.48,7555.2,364.11
NIFTY 50,07/04/2016,20.73,3.19,1.48,7546.45,364.04
NIFTY 50,06/04/2016,20.91,3.22,1.47,7614.35,364.15
NIFTY 50,05/04/2016,20.88,3.21,1.47,7603.2,364.14
NIFTY 50,04/04/2016,21.31,3.28,1.44,7758.8,364.09
NIFTY 50,01/04/2016,21.19,3.26,1.45,7713.05,363.99
NIFTY 50,31/03/2016,20.89,3.1,1.49,7738.4,370.44
