"Date","Price","Open","High","Low","Change %"
"09/17/2001","9.628","9.628","9.628","9.628","-2.01%"
"09/15/2001","9.825","9.825","9.825","9.825","3.81%"
"09/14/2001","9.464","9.464","9.464","9.464","2.36%"
"09/13/2001","9.246","9.246","9.246","9.246","0.73%"
"09/12/2001","9.179","9.179","9.179","9.179","0.56%"
"09/11/2001","9.128","9.128","9.128","9.128","-0.58%"
"09/10/2001","9.181","9.181","9.181","9.181","0.17%"
"09/08/2001","9.165","9.165","9.165","9.165","-0.11%"
"09/07/2001","9.175","9.175","9.175","9.175","0.43%"
"09/06/2001","9.136","9.136","9.136","9.136","0.07%"
"09/05/2001","9.130","9.130","9.130","9.130","0.35%"
"09/04/2001","9.098","9.098","9.098","9.098","-0.24%"
"09/03/2001","9.120","9.120","9.120","9.120","-0.27%"
"09/01/2001","9.145","9.145","9.145","9.145","0.34%"
"08/31/2001","9.114","9.114","9.114","9.114","0.13%"
"08/30/2001","9.102","9.102","9.102","9.102","0.00%"
"08/29/2001","9.102","9.102","9.102","9.102","0.35%"
"08/28/2001","9.070","9.070","9.070","9.070","-0.09%"
"08/27/2001","9.078","9.078","9.078","9.078","0.15%"
"08/25/2001","9.064","9.064","9.064","9.064","-0.25%"
"08/24/2001","9.087","9.087","9.087","9.087","-0.79%"
"08/23/2001","9.159","9.159","9.159","9.159","-0.33%"
"08/20/2001","9.189","9.189","9.189","9.189","-0.10%"
"08/18/2001","9.198","9.198","9.198","9.198","-0.26%"
"08/17/2001","9.222","9.222","9.222","9.222","-0.31%"
"08/16/2001","9.251","9.251","9.251","9.251","0.00%"
"08/14/2001","9.251","9.251","9.251","9.251","0.05%"
"08/13/2001","9.246","9.246","9.246","9.246","0.04%"
"08/11/2001","9.242","9.242","9.242","9.242","-0.27%"
"08/10/2001","9.267","9.267","9.267","9.267","-0.45%"
"08/09/2001","9.309","9.309","9.309","9.309","-0.23%"
"08/08/2001","9.330","9.330","9.330","9.330","0.16%"
"08/07/2001","9.315","9.315","9.315","9.315","0.12%"
"08/06/2001","9.304","9.304","9.304","9.304","-0.26%"
"08/04/2001","9.328","9.328","9.328","9.328","-0.21%"
"08/03/2001","9.348","9.348","9.348","9.348","-0.09%"
